CT.PA.1,CT.PA.2,KD.PA.3,KD.PA.4,CT.SI.5,KD.SI.6,CT.SI.7
FBgn0020414,6170,7576,5416,6323,17604,9956,9416
FBgn0020415,8632,11614,8708,9785,22509,16684,12255
FBgn0020416,5602,7626,5109,5776,15203,10265,7225
FBgn0020440,523,510,547,572,1390,1130,896
FBgn0020443,3458,3785,3831,4177,8014,6532,5485
FBgn0020493,236,265,178,192,588,318,510
FBgn0020496,1600,1669,2024,2257,3038,3061,1880
FBgn0020497,3709,3875,3897,4181,9499,7690,6178
FBgn0020503,968,876,824,813,2563,2019,1303
FBgn0020510,1150,1183,1386,1450,2764,1965,1795
FBgn0020513,3158,4162,4399,4856,6966,6402,6462
FBgn0020545,1049,1226,980,1154,1554,1141,1261
FBgn0020616,809,848,838,867,1913,1599,1397
FBgn0020618,20643,26502,20585,23001,42713,21435,28137
FBgn0020620,1678,1942,1854,2025,3792,2884,2923
FBgn0020621,1180,1281,1317,1395,2358,2180,1611
FBgn0020622,678,692,612,609,1835,1559,1143
FBgn0020626,1129,1247,1245,1311,2146,1447,1304
FBgn0020633,1036,1249,1720,1835,2152,2232,1618
FBgn0020647,3160,3031,3170,3598,5323,4357,3795
FBgn0020653,3122,3790,4567,4994,5824,5512,4507
FBgn0020655,746,798,808,846,1529,1147,978
FBgn0020660,625,646,594,661,2564,2543,1404
FBgn0020762,893,976,683,792,1910,1254,1016
FBgn0020764,590,728,567,651,1262,675,889
FBgn0020766,410,485,467,492,918,675,680
FBgn0020767,977,1062,975,1017,2238,1810,1160
FBgn0020887,783,801,735,809,1691,1134,1316
FBgn0020909,316,359,349,313,600,504,595
FBgn0020910,19950,26924,24782,27293,33215,24272,33819
FBgn0020930,439,525,505,535,796,683,666
FBgn0021750,179,226,264,264,399,349,276
FBgn0021760,1775,1894,1922,2096,4297,3412,2876
FBgn0021761,1316,1457,1606,1729,3484,2882,2619
FBgn0021764,451,416,491,485,983,865,609
FBgn0021765,1030,1270,1376,1391,1625,1372,1593
FBgn0021768,432,601,575,660,1190,1184,939
FBgn0021795,1199,1589,2043,2228,2675,2923,1996
FBgn0021796,1534,1735,2039,2032,3217,2837,2332
FBgn0021800,324,322,337,342,723,629,302
FBgn0021814,415,587,533,551,1006,707,655
FBgn0021818,1134,1239,1299,1353,2366,1985,1679
FBgn0021825,1047,1266,1383,1460,2110,1711,1494
FBgn0021847,343,404,394,423,666,570,591
FBgn0021856,342,444,528,587,960,823,658
FBgn0021872,9525,11642,11467,13137,21549,15542,15851
FBgn0021873,1388,1289,1440,1478,2694,2115,1575
FBgn0021874,341,379,352,414,764,569,510
FBgn0021875,177,229,257,285,534,365,236
FBgn0021895,1532,1599,1772,1666,3790,3282,2265
FBgn0021906,1652,2072,1831,1862,2975,2037,1889
FBgn0021944,902,989,939,1110,1920,1291,1215
FBgn0021953,828,940,1087,1272,1446,1473,1285
FBgn0021967,569,846,816,871,1280,928,861
FBgn0021979,1084,1421,1356,1517,2317,1722,1446
FBgn0021995,757,906,846,937,1882,1367,1237
FBgn0022023,4338,5762,5008,5794,8651,6435,6884
FBgn0022027,217,270,265,295,527,389,300
FBgn0022029,581,724,882,926,1712,1473,1141
FBgn0022063,1297,1289,1335,1332,2549,1974,1622
FBgn0022069,659,792,767,767,1441,1115,1107
FBgn0022097,526,718,778,862,1382,1430,1036
FBgn0022153,1819,1997,2145,2373,3886,3287,3072
FBgn0022160,1333,1454,763,824,2274,844,989
FBgn0022213,1757,1849,2412,2431,4682,5228,3470
FBgn0022224,31,76,91,80,289,288,228
FBgn0022238,353,420,419,463,1414,1114,679
FBgn0022246,31,45,55,52,124,114,71
FBgn0022268,1742,2506,2341,2680,4335,4181,3629
FBgn0022288,407,574,483,557,899,593,711
FBgn0022338,730,869,621,729,1843,1023,1134
FBgn0022343,716,916,923,941,1591,1287,1067
FBgn0022344,267,356,337,353,672,591,486
FBgn0022349,1820,1924,1715,1776,4774,3150,2364
FBgn0022359,137,195,234,252,275,233,176
FBgn0022361,59,61,61,62,236,291,151
FBgn0022382,549,600,477,452,1489,984,1141
FBgn0022699,343,389,402,453,594,432,418
FBgn0022702,179,187,378,404,248,414,329
FBgn0022708,1101,1435,1411,1556,2909,2461,1960
FBgn0022709,66,68,91,103,142,138,98
FBgn0022710,113,84,89,85,204,125,87
FBgn0022720,1207,1471,1460,1631,2874,2202,1799
FBgn0022724,180,192,215,251,437,296,254
FBgn0022764,4026,3948,4059,4100,9048,5919,5570
FBgn0022768,1812,1780,1709,1782,3460,2281,1909
FBgn0022772,255,321,394,352,571,514,435
FBgn0022774,533,655,808,880,906,1042,850
FBgn0022786,394,463,480,515,755,792,644
FBgn0022787,3034,3296,3787,3896,6367,6135,4713
FBgn0022800,39,42,43,37,85,86,48
FBgn0022893,8856,10779,11815,12646,21047,22583,13942
FBgn0022935,459,500,544,533,920,630,580
FBgn0022936,149,191,204,244,440,394,286
FBgn0022942,905,1125,1180,1227,2029,1906,1549
FBgn0022943,177,212,239,252,431,352,287
FBgn0022959,2895,2944,3291,3305,6603,4712,3133
FBgn0022960,883,959,1130,1177,1996,1730,1366
FBgn0022984,308,359,423,365,953,745,515
FBgn0022985,807,915,1131,1155,1694,1635,1285
FBgn0022986,247,211,242,284,524,385,325
FBgn0022987,504,550,541,622,1339,1044,789
FBgn0023000,270,266,286,318,652,790,568
FBgn0023023,216,246,289,257,435,449,373
FBgn0023081,984,1136,1194,1248,2437,2124,1521
FBgn0023083,744,790,816,906,1851,1389,1030
FBgn0023094,145,197,186,206,324,287,252
FBgn0023095,59,62,67,60,160,117,77
FBgn0023097,1002,969,1055,944,2113,1444,1251
FBgn0023129,271,342,237,232,545,342,356
FBgn0023130,258,306,339,312,539,398,351
FBgn0023143,5754,6460,7025,7136,12614,10486,9442
FBgn0023167,516,545,682,680,1223,1001,690
FBgn0023169,627,762,641,644,1149,734,845
FBgn0023170,3586,8035,7423,7199,12870,17648,16261
FBgn0023171,242,306,336,359,634,599,434
FBgn0023172,3081,2907,3264,3307,7082,5366,4113
FBgn0023174,894,1289,1373,1600,2377,1957,1737
FBgn0023175,729,983,1042,1173,1628,1613,1243
FBgn0023177,1094,1314,1404,1576,2185,1833,1761
FBgn0023180,113,179,118,123,342,233,226
FBgn0023181,292,338,268,292,598,407,464
FBgn0023211,338,569,544,526,932,910,776
FBgn0023212,841,986,1002,1096,2161,1391,1314
FBgn0023213,5767,5134,5146,5036,17219,15226,11613
FBgn0023214,333,352,438,498,1001,1005,402
FBgn0023215,889,811,805,927,2188,1687,787
FBgn0023216,239,279,256,304,585,444,368
FBgn0023388,1014,1106,1077,1140,2390,1910,1611
FBgn0023395,277,263,246,346,599,500,430
FBgn0023407,1200,1239,1410,1410,2400,1977,1461
FBgn0023416,282,323,366,374,748,803,476
FBgn0023423,1089,1249,1260,1373,2192,2064,1774
FBgn0023458,4854,4543,5384,5089,8000,6119,6567
FBgn0023477,1007,1265,1738,1919,1948,2419,1622
FBgn0023479,3064,3120,1158,1158,7192,1923,3339
FBgn0023506,143,141,151,160,347,213,215
FBgn0023507,754,876,653,719,1154,708,902
FBgn0023508,1380,1602,1610,1793,2961,2040,2153
FBgn0023509,832,918,1048,1067,1592,1278,993
FBgn0023510,1604,1545,1696,1823,3076,2534,2135
FBgn0023511,1085,1094,1317,1291,2250,2152,1774
FBgn0023512,982,1197,1433,1559,1544,1611,1462
FBgn0023513,505,564,631,583,921,913,843
FBgn0023514,614,737,760,809,1409,1180,1009
FBgn0023515,359,432,519,518,883,762,576
FBgn0023516,354,406,372,430,645,502,469
FBgn0023517,422,536,624,653,910,808,565
FBgn0023518,2010,1925,2091,2050,4007,2785,2500
FBgn0023519,357,447,499,524,705,624,661
FBgn0023520,112,138,210,181,342,333,214
FBgn0023521,87,105,122,138,185,202,126
FBgn0023522,491,542,682,784,1439,1252,867
FBgn0023525,42,69,64,68,105,82,77
FBgn0023526,349,354,359,378,898,862,488
FBgn0023527,342,437,378,402,779,606,583
FBgn0023528,895,914,914,989,2185,1759,1232
FBgn0023529,3973,4582,4196,4544,11004,7683,5619
FBgn0023530,267,357,434,392,532,472,425
FBgn0023531,457,430,551,533,998,777,715
FBgn0023535,34,46,49,52,114,94,27
FBgn0023536,57,56,72,68,107,104,109
FBgn0023537,1158,1621,1287,1359,2695,1635,2000
FBgn0023540,103,124,138,151,297,207,159
FBgn0023542,471,691,612,703,1339,933,834
FBgn0023545,628,860,913,1066,1335,1462,1016
FBgn0023549,174,211,67,74,392,90,155
FBgn0024150,1820,1772,1416,1483,3326,1959,3098
FBgn0024177,181,269,399,386,518,763,533
FBgn0024183,2711,2765,2957,3178,5945,4785,3450
FBgn0024187,776,772,785,834,1426,1071,1043
FBgn0024188,282,382,393,446,947,800,548
FBgn0024191,173,234,203,265,351,302,276
FBgn0024194,299,461,404,454,611,727,585
FBgn0024196,498,737,717,790,1413,1364,1256
FBgn0024222,401,502,406,449,1265,965,817
FBgn0024227,529,688,693,702,1055,810,856
FBgn0024230,146,205,158,184,498,396,312
FBgn0024234,1328,1482,1937,2026,1910,1903,1928
FBgn0024236,2501,3123,2862,3110,5649,4321,4658
FBgn0024238,2670,2846,2539,2995,5998,4379,4517
FBgn0024245,148,168,187,204,367,321,319
FBgn0024248,608,641,529,540,1675,1218,964
FBgn0024250,354,304,206,225,716,361,356
FBgn0024273,1298,1286,1092,1258,2322,1406,1522
FBgn0024277,4214,4239,5574,5958,8555,9059,6358
FBgn0024285,1496,1688,1724,1909,2826,1984,1645
FBgn0024288,73,80,5,4,145,3,71
FBgn0024291,703,726,634,688,1643,1138,922
FBgn0024314,985,1208,1281,1409,1818,1529,1547
FBgn0024315,93,97,18,24,177,29,121
FBgn0024320,1422,1560,1294,1237,3418,2997,2563
FBgn0024321,673,715,659,789,1721,1145,813
FBgn0024326,865,928,869,974,2221,1824,1200
FBgn0024329,2018,2159,2486,2469,4121,3688,2960
FBgn0024330,229,222,244,247,511,371,328
FBgn0024332,830,984,1190,1267,1345,1246,1289
FBgn0024352,2076,2770,2737,3091,6591,5251,3927
FBgn0024360,149,170,217,190,243,224,209
FBgn0024362,372,399,438,505,788,643,610
FBgn0024364,430,443,437,477,854,591,436
FBgn0024365,720,803,880,910,1332,1110,1136
FBgn0024366,22,33,30,34,46,29,24
FBgn0024371,486,586,497,519,1181,859,849
FBgn0024432,1037,1314,1190,1367,2817,1807,1713
FBgn0024491,263,316,504,510,730,895,398
FBgn0024509,1634,2171,2306,2668,3051,2516,2599
FBgn0024510,132,154,207,184,286,292,211
FBgn0024542,105,119,135,150,262,191,155
FBgn0024555,1891,1866,2043,2031,4779,3744,3006
FBgn0024556,1386,1580,1790,1925,2398,1896,2008
FBgn0024558,503,683,679,735,949,914,931
FBgn0024689,487,607,700,710,1214,1053,884
FBgn0024698,1187,1240,1097,1142,2775,2387,2440
FBgn0024728,476,461,457,473,1468,1331,1068
FBgn0024732,263,287,330,367,702,745,495
FBgn0024733,8486,11715,11090,11584,18450,32010,21517
FBgn0024734,1681,1602,1465,1486,6068,4899,3389
FBgn0024754,1407,1604,1514,1693,2368,1929,1768
FBgn0024804,191,197,175,155,534,604,415
FBgn0024806,1013,960,966,950,2469,2013,1841
FBgn0024807,971,1068,1138,1184,2239,2020,1921
FBgn0024811,157,172,141,173,645,644,446
FBgn0024814,1178,1361,1269,1378,2638,2249,1616
FBgn0024833,839,1128,991,1189,2148,1310,1430
FBgn0024841,368,489,659,682,1002,903,628
FBgn0024846,358,434,416,445,793,608,555
FBgn0024887,183,208,188,202,387,339,268
FBgn0024889,374,473,521,590,1082,819,701
FBgn0024891,861,1133,1364,1644,2019,1962,1284
FBgn0024897,71,88,92,108,134,112,167
FBgn0024909,172,229,196,204,493,378,301
FBgn0024912,66,81,77,91,177,193,101
FBgn0024920,1139,1409,1241,1282,2190,1411,1576
FBgn0024921,1505,1526,1534,1606,3645,3648,2878
FBgn0024945,303,361,360,394,698,512,511
FBgn0024947,2312,2675,2809,3257,4120,3827,3499
FBgn0024956,265,355,314,391,771,562,433
FBgn0024957,871,980,1029,1117,1565,1456,1237
FBgn0024958,569,760,773,804,1097,1038,1074
FBgn0024973,523,631,763,851,961,820,638
FBgn0024975,136,149,179,182,261,225,168
FBgn0024980,375,430,384,430,872,785,828
FBgn0024983,131,148,183,199,298,219,236
FBgn0024984,42,56,153,171,88,193,62
FBgn0024985,552,531,583,586,1211,880,768
FBgn0024986,158,206,188,202,440,274,264
FBgn0024987,752,745,935,979,1704,1229,1215
FBgn0024991,272,321,399,431,593,535,509
FBgn0024992,1192,1358,1614,1873,2179,1994,1382
FBgn0024993,71,119,121,129,180,158,132
FBgn0024994,413,498,452,502,742,639,742
FBgn0024996,389,519,548,632,780,763,695
FBgn0024997,275,294,337,362,448,364,281
FBgn0024998,214,191,214,229,395,310,238
FBgn0025109,228,276,284,315,487,369,378
FBgn0025111,279,302,2385,2664,509,3000,370
FBgn0025117,1497,1811,1715,1901,3103,2155,2362
FBgn0025140,606,667,669,652,1353,1082,942
FBgn0025185,179,182,230,280,432,365,244
FBgn0025186,286,295,324,358,679,505,400
FBgn0025286,12566,20011,16203,17174,27875,21398,22494
FBgn0025335,709,885,884,854,1195,836,1211
FBgn0025336,345,350,417,449,923,647,559
FBgn0025352,1771,2179,1731,2074,3493,2154,2194
FBgn0025355,182,184,209,187,489,299,294
FBgn0025366,3817,5431,3510,4380,12327,7482,5434
FBgn0025373,423,538,511,598,1092,957,766
FBgn0025381,4818,5479,5607,5975,8690,6836,6438
FBgn0025382,155,134,175,179,215,170,170
FBgn0025383,81,99,42,62,102,47,74
FBgn0025388,211,249,257,282,737,545,433
FBgn0025390,97,113,191,168,289,285,93
FBgn0025391,15,22,29,19,238,348,186
FBgn0025394,1095,1284,1275,1483,3038,2173,1791
FBgn0025455,2477,2291,2275,2394,5961,4193,2697
FBgn0025456,19,22,38,23,34,83,38
FBgn0025457,763,902,983,1119,1732,1454,1433
FBgn0025463,1577,1833,1790,2018,3401,2804,2286
FBgn0025469,145,213,244,230,321,300,295
FBgn0025519,317,390,467,514,743,707,530
FBgn0025525,35,28,66,52,79,90,37
FBgn0025549,237,248,246,298,744,563,382
FBgn0025558,127,205,144,168,390,343,208
FBgn0025571,1426,1546,1435,1433,2670,1655,1508
FBgn0025574,234,245,369,353,664,756,334
FBgn0025582,2844,3958,3547,4034,6730,5059,5177
FBgn0025592,430,499,535,532,1067,910,772
FBgn0025608,1044,1263,1172,1346,2465,1769,1572
FBgn0025615,736,957,884,1026,2381,1621,1308
FBgn0025621,365,386,407,480,665,506,525
FBgn0025624,523,781,677,793,1174,1057,1163
FBgn0025625,303,259,241,275,439,289,316
FBgn0025626,1196,1294,1487,1734,2135,1820,1591
FBgn0025628,2626,3363,2230,2537,5153,3056,4054
FBgn0025629,433,594,585,569,933,741,644
FBgn0025630,236,246,327,333,442,361,302
FBgn0025631,755,722,834,826,1660,1305,1274
FBgn0025632,58,62,92,76,115,123,96
FBgn0025633,608,612,686,708,1189,1051,837
FBgn0025634,164,235,201,208,386,243,220
FBgn0025635,87,98,103,108,150,147,110
FBgn0025637,716,925,856,1031,2195,1793,1284
FBgn0025638,304,440,466,538,793,829,607
FBgn0025639,803,789,810,887,1547,1123,931
FBgn0025640,248,282,289,303,507,393,294
FBgn0025641,493,497,813,829,893,987,914
FBgn0025642,55,61,80,75,94,95,83
FBgn0025674,1257,1474,1613,1742,3186,2600,2025
FBgn0025676,226,222,244,263,812,667,351
FBgn0025678,5637,7015,9848,10798,11669,14206,8399
FBgn0025681,2829,2942,2356,2483,5094,2910,3799
FBgn0025682,6000,7858,5953,6929,14098,8280,8668
FBgn0025683,3039,3616,2910,3237,7418,5400,5341
FBgn0025684,513,645,604,671,1087,944,988
FBgn0025687,3534,4337,3395,3623,6833,4759,6380
FBgn0025693,560,642,542,525,1578,1166,1162
FBgn0025697,44,49,37,37,78,68,63
FBgn0025700,540,771,906,1062,1412,1312,913
FBgn0025702,57,62,86,97,142,176,86
FBgn0025716,551,736,690,729,1208,1110,996
FBgn0025720,477,539,475,563,1034,868,619
FBgn0025724,2854,3362,3371,3607,5506,4586,4226
FBgn0025725,4031,4642,4860,5093,7715,5797,6378
FBgn0025726,2066,1705,2293,2241,6288,8092,3923
FBgn0025739,302,316,459,537,671,596,377
FBgn0025740,526,466,403,319,1633,1277,1443
FBgn0025741,1614,1380,1606,1450,4614,5698,4085
FBgn0025742,728,922,973,1135,1355,1131,1143
FBgn0025743,662,698,693,819,1159,1050,810
FBgn0025777,505,512,580,594,1272,1043,889
FBgn0025781,216,210,234,293,492,532,350
FBgn0025790,601,771,735,729,1259,1006,987
FBgn0025800,1312,1221,1210,1284,2889,2118,1491
FBgn0025802,945,1076,1121,1030,2227,1855,1624
FBgn0025806,222,271,262,319,931,750,532
FBgn0025807,83,90,78,88,232,173,129
FBgn0025808,82,93,116,113,217,254,159
FBgn0025809,107,118,136,144,300,340,177
FBgn0025814,351,580,606,476,1373,1010,1337
FBgn0025815,1352,1573,1911,1926,2444,2144,1976
FBgn0025820,92,153,189,169,222,301,198
FBgn0025825,450,561,619,660,1047,966,819
FBgn0025830,270,334,315,365,645,524,474
FBgn0025832,283,337,295,340,593,581,539
FBgn0025836,62,79,40,36,174,62,177
FBgn0025839,259,341,372,452,625,497,358
FBgn0025864,3196,3296,3933,3932,5329,4357,4061
FBgn0025865,3181,3375,4359,4955,5967,6121,4117
FBgn0025866,862,855,957,939,1491,1206,970
FBgn0025874,169,196,203,233,454,434,267
FBgn0025885,11199,13670,17096,19021,19959,19760,15804
FBgn0025936,574,579,625,662,1970,2367,1441
FBgn0026015,977,1098,1258,1388,1773,1499,1307
FBgn0026056,200,250,262,246,486,413,276
FBgn0026059,861,778,916,993,1570,1385,1003
FBgn0026076,339,421,360,394,1042,776,542
FBgn0026079,440,520,570,615,824,652,583
FBgn0026080,268,350,289,370,678,486,420
FBgn0026083,3231,3093,4314,4299,5919,5341,3411
FBgn0026084,400,464,703,797,1380,1466,900
FBgn0026085,95,132,128,155,294,199,151
FBgn0026086,569,559,546,531,1426,1481,1116
FBgn0026088,221,328,362,406,608,680,478
FBgn0026089,230,357,337,361,778,508,420
FBgn0026090,455,616,464,553,1366,970,776
FBgn0026143,243,289,211,238,435,276,349
FBgn0026147,449,488,527,500,1232,1045,915
FBgn0026148,24,35,39,50,105,93,58
FBgn0026149,155,200,208,220,348,407,235
FBgn0026150,550,646,840,911,1181,1383,882
FBgn0026160,1532,1469,1221,1351,3173,1793,903
FBgn0026170,2025,3025,2971,3414,8145,6142,5379
FBgn0026175,119,166,185,199,385,279,219
FBgn0026179,284,260,499,478,584,650,265
FBgn0026181,2885,2724,2869,3120,5111,3993,3615
FBgn0026189,7005,7038,10683,10870,15756,19274,12156
FBgn0026192,775,924,1029,1132,2169,2163,1482
FBgn0026196,1366,1533,1497,1615,2391,1998,2007
FBgn0026197,50,38,30,44,127,110,17
FBgn0026199,778,757,652,705,2531,2673,2031
FBgn0026206,1886,1693,1946,2042,4515,3981,2113
FBgn0026207,315,414,410,454,763,718,586
FBgn0026238,417,394,334,411,1059,1353,832
FBgn0026239,43,62,55,57,96,84,60
FBgn0026250,2498,3012,2821,3366,6610,4376,3360
FBgn0026252,5515,6457,6490,6876,12757,9783,9491
FBgn0026257,70,69,79,85,217,212,115
FBgn0026259,4952,5080,4939,5530,10131,7868,5871
FBgn0026261,173,247,257,270,553,501,382
FBgn0026262,637,631,520,566,2424,2086,1322
FBgn0026263,100,123,139,153,264,248,146
FBgn0026309,238,295,287,327,620,533,435
FBgn0026313,1415,1707,1762,1848,3072,2556,2367
FBgn0026315,740,849,725,761,2125,1697,1351
FBgn0026316,300,390,419,389,982,721,534
FBgn0026317,539,570,721,705,1160,887,737
FBgn0026318,130,111,144,147,281,231,140
FBgn0026319,373,408,533,573,825,925,400
FBgn0026323,1153,1209,1083,1276,2297,1491,1676
FBgn0026324,118,190,173,197,261,284,298
FBgn0026326,336,376,416,422,824,685,602
FBgn0026361,183,197,229,280,352,374,283
FBgn0026369,1051,1152,1059,1061,2074,1547,1373
FBgn0026370,1885,1798,1820,1924,4701,3514,2491
FBgn0026371,208,205,234,248,529,554,408
FBgn0026372,47437,57589,48627,50425,90768,52634,61435
FBgn0026373,284,369,397,416,583,455,420
FBgn0026374,183,215,245,251,361,315,285
FBgn0026375,2308,2245,2435,2601,5408,4354,2603
FBgn0026376,1264,1151,601,686,3472,1350,1387
FBgn0026378,250,330,378,440,653,613,508
FBgn0026379,182,157,165,169,461,729,465
FBgn0026380,621,838,1093,1053,1416,1577,1179
FBgn0026393,71,94,122,119,203,146,124
FBgn0026400,424,509,496,583,898,869,685
FBgn0026401,1435,1256,1403,1309,4985,6946,3628
FBgn0026402,169,213,199,225,445,323,291
FBgn0026404,339,403,415,422,796,670,458
FBgn0026409,6252,7827,6575,6870,12181,8577,10610
FBgn0026415,19,26,58,50,49,80,30
FBgn0026417,95,119,130,139,182,310,211
FBgn0026418,6307,7300,6260,7198,12466,8519,9160
FBgn0026427,1756,1468,1508,1592,4353,3764,2325
FBgn0026428,437,476,539,550,788,595,636
FBgn0026430,615,672,930,1007,1220,1319,1126
FBgn0026431,131,156,154,170,378,497,295
FBgn0026432,254,278,334,323,740,684,495
FBgn0026433,213,271,324,350,400,441,331
FBgn0026439,206,251,170,175,443,350,259
FBgn0026441,743,763,781,802,1692,1164,951
FBgn0026479,1267,1477,1629,1764,2540,2166,1732
FBgn0026533,3484,3502,3395,3822,6754,5581,4309
FBgn0026562,50115,66698,11176,12814,77075,11874,52070
FBgn0026566,443,604,657,685,980,895,665
FBgn0026570,342,360,408,446,822,698,513
FBgn0026573,720,681,686,771,1880,1411,1017
FBgn0026575,4873,4750,5177,5508,9364,6533,5608
FBgn0026576,517,571,464,541,1311,781,886
FBgn0026577,3212,2895,3030,3139,7567,5708,3649
FBgn0026582,236,282,212,264,457,271,257
FBgn0026593,68,90,80,83,131,112,88
FBgn0026597,1164,1162,1259,1278,2475,1999,1508
FBgn0026598,204,269,329,390,512,536,403
FBgn0026602,157,155,184,207,290,227,133
FBgn0026616,219,230,263,281,403,429,338
FBgn0026619,163,224,225,243,483,377,356
FBgn0026620,1963,2020,2240,2232,5521,4924,3504
FBgn0026630,667,732,662,751,1764,1602,1242
FBgn0026634,189,233,244,238,527,466,391
FBgn0026666,122,156,149,188,286,264,171
FBgn0026679,547,630,708,665,944,747,770
FBgn0026702,282,291,307,342,445,325,339
FBgn0026713,1554,1618,1859,1917,2427,1815,1764
FBgn0026718,38,61,57,51,96,118,32
FBgn0026721,3226,4253,2371,2444,6739,3038,3336
FBgn0026722,367,411,454,468,835,786,577
FBgn0026737,145,168,179,188,354,335,158
FBgn0026738,166,201,219,216,508,355,259
FBgn0026741,126,158,144,152,361,269,235
FBgn0026749,212,227,239,292,592,417,331
FBgn0026751,493,610,536,669,1125,1042,784
FBgn0026753,1245,1578,1664,1852,2633,2304,1737
FBgn0026761,771,1011,917,946,1987,1305,1439
FBgn0026777,469,469,479,511,1571,1437,1118
FBgn0026787,158,217,166,182,411,301,321
FBgn0026869,1623,1453,1512,1567,4798,3908,3046
FBgn0026872,150,194,153,179,259,152,256
FBgn0026873,269,353,434,427,658,603,481
FBgn0026874,45,44,30,39,85,61,66
FBgn0026876,148,194,222,204,362,330,248
FBgn0026879,168,223,215,234,614,459,288
FBgn0027052,136,166,166,166,495,500,322
FBgn0027053,447,558,666,681,1116,1074,769
FBgn0027054,378,443,495,498,830,613,543
FBgn0027055,534,616,669,692,1315,992,911
FBgn0027057,329,440,390,458,815,698,558
FBgn0027066,1712,2103,2213,2029,6181,6320,4935
FBgn0027079,2196,2347,2723,2998,4027,3392,2675
FBgn0027080,1017,1233,1117,1259,2030,1635,1605
FBgn0027081,3267,3948,3760,4376,6677,5687,5354
FBgn0027082,141,160,149,169,250,254,223
FBgn0027083,174,160,163,203,345,239,217
FBgn0027084,1251,1665,1668,1767,2539,2061,2071
FBgn0027085,255,291,320,337,594,526,400
FBgn0027086,2104,2206,1951,2016,4781,4109,3964
FBgn0027087,1603,1835,2092,2311,2713,2291,1949
FBgn0027088,1623,1965,2316,2332,3078,3078,2393
FBgn0027090,817,924,959,1051,1708,1457,1266
FBgn0027091,912,1023,695,743,1825,997,1434
FBgn0027093,689,719,812,852,1524,1447,1320
FBgn0027094,4017,4742,5172,5461,8110,7168,6267
FBgn0027095,1017,1491,1419,1785,2751,2878,2045
FBgn0027101,310,295,278,286,1041,1152,793
FBgn0027103,175,193,225,227,386,410,306
FBgn0027108,327,329,325,313,662,505,633
FBgn0027259,190,241,276,286,549,488,387
FBgn0027279,2589,2759,1272,1358,6223,2311,3957
FBgn0027280,3746,4573,4239,4788,9213,6514,5050
FBgn0027287,1016,1033,1016,1031,2081,1499,1315
FBgn0027291,1678,1941,1932,2083,3248,2746,2575
FBgn0027296,161,139,162,162,323,269,280
FBgn0027329,3853,4875,5396,5945,8317,6712,6747
FBgn0027330,491,552,575,656,1066,772,750
FBgn0027334,348,427,370,362,696,409,452
FBgn0027335,7396,7728,8578,8985,14507,11824,10214
FBgn0027338,2095,2551,2477,2750,5711,4148,3729
FBgn0027339,1280,1129,1044,974,2805,1783,1387
FBgn0027342,222,267,235,276,388,377,355
FBgn0027348,192,235,105,137,370,165,334
FBgn0027356,448,471,404,486,1120,921,629
FBgn0027359,240,313,320,353,716,600,456
FBgn0027363,1355,1417,1375,1539,2522,1852,1478
FBgn0027375,639,685,437,515,2295,1512,1279
FBgn0027378,261,327,316,357,669,521,464
FBgn0027453,543,601,654,695,1078,912,818
FBgn0027490,344,399,359,365,774,580,498
FBgn0027492,4072,4108,4181,4352,10590,8671,5627
FBgn0027493,4095,5065,5164,5755,6447,5730,4990
FBgn0027495,520,603,622,739,1354,928,887
FBgn0027496,601,786,784,865,1123,1015,1115
FBgn0027497,1115,1147,1399,1561,1909,1396,1246
FBgn0027498,157,146,192,220,260,288,226
FBgn0027499,642,661,584,653,1625,1241,753
FBgn0027500,390,483,560,512,1061,843,770
FBgn0027503,537,554,654,616,1410,962,684
FBgn0027504,1011,1135,1258,1281,2532,1919,1391
FBgn0027505,241,293,318,324,597,506,417
FBgn0027506,350,450,350,386,863,547,536
FBgn0027507,418,455,429,408,1299,1231,1001
FBgn0027508,510,540,619,660,969,742,754
FBgn0027509,1055,1195,1379,1330,2297,2238,1833
FBgn0027512,368,425,466,476,861,808,725
FBgn0027513,168,203,188,197,447,293,283
FBgn0027514,173,207,260,284,325,362,287
FBgn0027515,201,258,457,468,484,837,306
FBgn0027518,619,706,641,706,1241,884,944
FBgn0027524,151,158,220,215,335,352,314
FBgn0027525,2388,2936,2031,2471,4852,3015,2683
FBgn0027526,158,239,250,299,294,361,303
FBgn0027529,747,850,1011,1193,1490,1503,1147
FBgn0027532,634,738,653,756,1621,1103,876
FBgn0027535,592,624,680,654,1266,1142,1063
FBgn0027537,2466,2852,2872,3238,5407,3967,3986
FBgn0027538,108,125,118,117,288,239,199
FBgn0027539,278,322,351,390,630,746,555
FBgn0027547,600,713,726,819,1507,1156,1013
FBgn0027548,920,1056,1040,1117,1930,1386,1488
FBgn0027549,766,944,841,898,1671,1228,1349
FBgn0027550,189,199,152,180,320,174,201
FBgn0027552,583,706,525,653,1390,639,819
FBgn0027553,286,343,333,343,592,476,493
FBgn0027554,720,848,783,878,1611,1197,882
FBgn0027556,308,291,306,337,541,581,284
FBgn0027558,776,893,861,1006,1610,1290,1355
FBgn0027559,228,274,237,277,606,451,345
FBgn0027561,1869,1935,1513,1662,3259,1965,2314
FBgn0027564,204,313,338,311,421,414,332
FBgn0027565,194,267,206,238,586,548,395
FBgn0027567,1992,2113,2325,2580,3716,2928,2741
